PicoQuant FluoFit 4.6.5.0
Saved : 2/3/2015 4:29:39 PM

Model: Exp. [Reconv.] (Exponential)
Plotted Data Set #73 Decay: "\..\Decay histograms for intensity levels.txt" (77)
Plotted Data Set #73 IRF: "\..\IRF 20140118.phd" (1)
X²(reduced): 0.4116 ; Fitted Data Points: 3168

Data Set #73
     Decay                 IRF                   Model Decay           Residuals
     t[ns]     Intens.     t[ns]     Intens.     t[ns]     Intens.     t[ns]       diff.
    1.0600         25    1.1490        170    1.0600     22.881    1.0600      0.408
    1.0640         25    1.1530        174    1.0640     22.875    1.0640      0.409
    1.0680         27    1.1570        158    1.0680     22.872    1.0680      0.766
    1.0720         24    1.1610        188    1.0720     22.867    1.0720      0.222
    1.0760         25    1.1650        169    1.0760     22.856    1.0760      0.413
    1.0800         31    1.1690        149    1.0800     22.847    1.0800      1.419
    1.0840         22    1.1730        150    1.0840     22.840    1.0840     -0.171
    1.0880         22    1.1770        160    1.0880     22.834    1.0880     -0.170
    1.0920         22    1.1810        137    1.0920     22.826    1.0920     -0.169
    1.0960         26    1.1850        163    1.0960     22.816    1.0960      0.602
    1.1000         27    1.1890        160    1.1000     22.802    1.1000      0.779
    1.1040         25    1.1930        168    1.1040     22.797    1.1040      0.424
    1.1080         23    1.1970        139    1.1080     22.787    1.1080      0.043
    1.1120         26    1.2010        157    1.1120     22.778    1.1120      0.609
    1.1160         30    1.2050        152    1.1160     22.764    1.1160      1.279
    1.1200         20    1.2090        129    1.1200     22.747    1.1200     -0.586
    1.1240         23    1.2130        142    1.1240     22.734    1.1240      0.053
    1.1280         23    1.2170        118    1.1280     22.721    1.1280      0.056
    1.1320         19    1.2210        141    1.1320     22.707    1.1320     -0.809
    1.1360         18    1.2250        157    1.1360     22.693    1.1360     -1.049
    1.1400         25    1.2290        134    1.1400     22.678    1.1400      0.447
    1.1440         25    1.2330        114    1.1440     22.661    1.1440      0.450
    1.1480         19    1.2370        122    1.1480     22.644    1.1480     -0.795
    1.1520         26    1.2410        135    1.1520     22.627    1.1520      0.637
    1.1560         24    1.2450        109    1.1560     22.608    1.1560      0.273
    1.1600         24    1.2490        147    1.1600     22.594    1.1600      0.276
    1.1640         30    1.2530        122    1.1640     22.577    1.1640      1.312
    1.1680         29    1.2570        120    1.1680     22.557    1.1680      1.157
    1.1720         24    1.2610        116    1.1720     22.537    1.1720      0.287
    1.1760         26    1.2650        119    1.1760     22.518    1.1760      0.658
    1.1800         22    1.2690        128    1.1800     22.496    1.1800     -0.101
    1.1840         23    1.2730         91    1.1840     22.478    1.1840      0.104
    1.1880         23    1.2770        113    1.1880     22.461    1.1880      0.108
    1.1920         24    1.2810        113    1.1920     22.444    1.1920      0.305
    1.1960         22    1.2850        114    1.1960     22.423    1.1960     -0.086
    1.2000         17    1.2890        100    1.2000     22.405    1.2000     -1.240
    1.2040         25    1.2930         96    1.2040     22.386    1.2040      0.503
    1.2080         19    1.2970         68    1.2080     22.363    1.2080     -0.734
    1.2120         23    1.3010         97    1.2120     22.343    1.2120      0.131
    1.2160         23    1.3050         95    1.2160     22.318    1.2160      0.136
    1.2200         24    1.3090         95    1.2200     22.297    1.2200      0.334
    1.2240         16    1.3130         95    1.2240     22.280    1.2240     -1.480
    1.2280         22    1.3170         74    1.2280     22.259    1.2280     -0.053
    1.2320         22    1.3210         77    1.2320     22.234    1.2320     -0.048
    1.2360         20    1.3250         83    1.2360     22.210    1.2360     -0.471
    1.2400         17    1.3290         84    1.2400     22.189    1.2400     -1.190
    1.2440         35    1.3330         97    1.2440     22.164    1.2440      2.110
    1.2480         25    1.3370         71    1.2480     22.145    1.2480      0.550
    1.2520         25    1.3410         76    1.2520     22.122    1.2520      0.554
    1.2560         25    1.3450         88    1.2560     22.099    1.2560      0.558
    1.2600         28    1.3490         68    1.2600     22.075    1.2600      1.082
    1.2640         15    1.3530         77    1.2640     22.051    1.2640     -1.710
    1.2680         17    1.3570         79    1.2680     22.030    1.2680     -1.154
    1.2720         19    1.3610         80    1.2720     22.002    1.2720     -0.655
    1.2760         28    1.3650         82    1.2760     21.978    1.2760      1.100
    1.2800         23    1.3690         84    1.2800     21.954    1.2800      0.209
    1.2840         25    1.3730         82    1.2840     21.930    1.2840      0.591
    1.2880         16    1.3770         64    1.2880     21.904    1.2880     -1.392
    1.2920         18    1.3810         59    1.2920     21.877    1.2920     -0.867
    1.2960         15    1.3850         62    1.2960     21.847    1.2960     -1.661
    1.3000         31    1.3890         73    1.3000     21.819    1.3000      1.598
    1.3040         20    1.3930         56    1.3040     21.793    1.3040     -0.382
    1.3080         19    1.3970         56    1.3080     21.767    1.3080     -0.604
    1.3120         13    1.4010         63    1.3120     21.740    1.3120     -2.257
    1.3160         26    1.4050         74    1.3160     21.711    1.3160      0.811
    1.3200         18    1.4090         67    1.3200     21.681    1.3200     -0.823
    1.3240         26    1.4130         52    1.3240     21.653    1.3240      0.821
